ID,TrackID,BBox,ClassID,Frame
92,3,"[0.4, 271.0, 45.0, 316.8]",['Player_A'],8
93,4,"[19.0, 301.0, 42.0, 325.0]",['Basketball'],8
94,5,"[221.0, 106.0, 266.0, 150.0]",['Player_B'],8
95,6,"[72.0, 441.0, 118.0, 487.0]",['Player_A'],8
96,7,"[201.0, 173.0, 244.0, 218.0]",['Player_B'],8
97,8,"[235.0, 415.0, 281.0, 460.0]",['Player_A'],8
98,9,"[39.0, 131.0, 85.0, 177.0]",['Player_B'],8
99,10,"[116.0, 91.0, 161.0, 136.0]",['Player_A'],8
100,0,"[341.0, 113.0, 386.0, 158.0]",['Player_B'],9
101,1,"[175.0, 39.0, 221.0, 85.0]",['Player_B'],9
102,2,"[125.0, 51.0, 171.0, 95.0]",['Player_A'],9
103,3,"[0.0, 271.0, 45.0, 317.5]",['Player_A'],9
104,4,"[23.0, 299.0, 46.0, 322.0]",['Basketball'],9
105,5,"[221.0, 106.0, 266.0, 150.0]",['Player_B'],9
106,6,"[71.0, 440.0, 118.0, 486.0]",['Player_A'],9
107,7,"[201.0, 173.0, 244.0, 218.0]",['Player_B'],9
108,8,"[234.0, 415.0, 280.0, 459.0]",['Player_A'],9
109,9,"[39.0, 129.0, 85.0, 175.0]",['Player_B'],9
110,10,"[117.0, 93.0, 162.0, 138.0]",['Player_A'],9
111,0,"[341.0, 113.0, 386.0, 158.0]",['Player_B'],10
112,1,"[176.0, 39.0, 222.0, 85.0]",['Player_B'],10
113,2,"[125.0, 51.0, 171.0, 95.0]",['Player_A'],10
114,3,"[1.0, 271.0, 45.0, 319.0]",['Player_A'],10
115,4,"[26.0, 298.0, 50.0, 322.0]",['Basketball'],10
116,5,"[221.0, 105.0, 266.0, 149.0]",['Player_B'],10
117,6,"[71.0, 440.0, 118.0, 486.0]",['Player_A'],10
118,7,"[200.0, 174.0, 244.0, 219.0]",['Player_B'],10
119,8,"[234.0, 414.0, 280.0, 459.0]",['Player_A'],10
120,9,"[39.0, 129.0, 85.0, 175.0]",['Player_B'],10
121,10,"[116.0, 95.0, 161.0, 138.0]",['Player_A'],10
122,0,"[339.0, 113.0, 383.0, 158.0]",['Player_B'],11
123,1,"[177.0, 40.0, 223.0, 86.0]",['Player_B'],11
124,2,"[126.0, 52.0, 170.0, 96.0]",['Player_A'],11
125,3,"[0.0, 273.0, 43.0, 319.0]",['Player_A'],11
126,4,"[28.0, 296.0, 52.0, 321.0]",['Basketball'],11
127,5,"[221.0, 104.0, 265.0, 148.0]",['Player_B'],11
128,6,"[70.0, 440.0, 116.0, 486.0]",['Player_A'],11
129,7,"[200.0, 174.0, 244.0, 219.0]",['Player_B'],11
130,8,"[233.0, 414.0, 279.0, 459.0]",['Player_A'],11
131,9,"[40.0, 129.0, 85.0, 174.0]",['Player_B'],11
132,10,"[118.0, 95.0, 162.0, 139.0]",['Player_A'],11
133,0,"[338.0, 113.0, 382.0, 158.0]",['Player_B'],12
134,1,"[178.0, 40.0, 223.0, 86.0]",['Player_B'],12
135,2,"[127.0, 52.0, 171.0, 96.0]",['Player_A'],12
136,3,"[0.0, 273.0, 43.0, 319.0]",['Player_A'],12
137,4,"[31.0, 294.0, 55.0, 319.0]",['Basketball'],12
138,5,"[221.0, 103.0, 266.0, 146.0]",['Player_B'],12
139,6,"[70.0, 440.0, 116.0, 486.0]",['Player_A'],12
140,7,"[200.0, 176.0, 244.0, 220.0]",['Player_B'],12
141,8,"[232.0, 413.0, 278.0, 458.0]",['Player_A'],12
142,9,"[41.0, 128.0, 86.0, 172.0]",['Player_B'],12
143,10,"[118.0, 97.0, 162.0, 141.0]",['Player_A'],12
144,0,"[337.0, 113.0, 381.0, 157.0]",['Player_B'],13
145,1,"[180.0, 40.0, 225.0, 85.0]",['Player_B'],13
146,2,"[127.0, 53.0, 171.0, 97.0]",['Player_A'],13
147,3,"[0.0, 273.0, 42.0, 319.0]",['Player_A'],13
148,4,"[33.0, 293.0, 58.0, 319.0]",['Basketball'],13
149,5,"[221.0, 102.0, 267.0, 146.0]",['Player_B'],13
150,6,"[69.0, 439.0, 115.0, 485.0]",['Player_A'],13
151,7,"[200.0, 176.0, 244.0, 220.0]",['Player_B'],13
152,8,"[232.0, 412.0, 278.0, 457.0]",['Player_A'],13
153,9,"[41.0, 128.0, 86.0, 172.0]",['Player_B'],13
154,10,"[119.0, 97.0, 164.0, 142.0]",['Player_A'],13
155,0,"[336.0, 113.0, 380.0, 157.0]",['Player_B'],14
156,1,"[181.0, 42.0, 226.0, 86.0]",['Player_B'],14
157,2,"[127.0, 53.0, 171.0, 97.0]",['Player_A'],14
158,3,"[0.0, 273.0, 44.0, 319.0]",['Player_A'],14
159,4,"[13.0, 294.0, 33.0, 317.0]",['Basketball'],14
160,5,"[221.0, 102.0, 267.0, 146.0]",['Player_B'],14
161,6,"[69.0, 439.0, 115.0, 484.0]",['Player_A'],14
162,7,"[200.0, 176.0, 244.0, 220.0]",['Player_B'],14
163,8,"[231.0, 411.0, 277.0, 457.0]",['Player_A'],14
164,9,"[41.0, 128.0, 86.0, 171.0]",['Player_B'],14
165,10,"[119.0, 100.0, 163.0, 144.0]",['Player_A'],14
166,0,"[336.0, 113.0, 379.0, 157.0]",['Player_B'],15
167,1,"[182.0, 42.0, 227.0, 86.0]",['Player_B'],15
168,2,"[127.0, 53.0, 171.0, 98.0]",['Player_A'],15
169,3,"[0.0, 274.0, 43.0, 319.0]",['Player_A'],15
170,4,"[11.0, 294.0, 33.0, 317.0]",['Basketball'],15
171,5,"[222.0, 101.0, 266.0, 145.0]",['Player_B'],15
172,6,"[67.0, 438.0, 115.0, 484.0]",['Player_A'],15
173,7,"[202.0, 176.0, 246.0, 220.0]",['Player_B'],15
174,8,"[231.0, 411.0, 276.0, 457.0]",['Player_A'],15
175,9,"[41.0, 126.0, 86.0, 170.0]",['Player_B'],15
176,10,"[119.0, 101.0, 163.0, 145.0]",['Player_A'],15
177,0,"[335.0, 112.0, 379.0, 156.0]",['Player_B'],16
178,1,"[183.0, 42.0, 228.0, 87.0]",['Player_B'],16
179,2,"[127.0, 53.0, 171.0, 98.0]",['Player_A'],16
180,3,"[1.0, 274.0, 44.0, 319.0]",['Player_A'],16
181,4,"[13.0, 293.0, 34.0, 317.0]",['Basketball'],16
182,5,"[222.0, 100.0, 266.0, 145.0]",['Player_B'],16
183,6,"[67.0, 438.0, 115.0, 484.0]",['Player_A'],16
184,7,"[202.0, 176.0, 246.0, 220.0]",['Player_B'],16
185,8,"[231.0, 409.0, 276.0, 456.0]",['Player_A'],16
186,9,"[41.0, 126.0, 86.0, 170.0]",['Player_B'],16
187,10,"[120.0, 102.0, 163.0, 145.0]",['Player_A'],16
188,0,"[334.0, 110.0, 378.0, 155.0]",['Player_B'],17
189,1,"[184.0, 43.0, 228.0, 88.0]",['Player_B'],17
190,2,"[127.0, 53.0, 172.0, 98.0]",['Player_A'],17
191,3,"[0.0, 274.0, 44.0, 319.0]",['Player_A'],17
192,4,"[14.0, 294.0, 36.0, 317.0]",['Basketball'],17
193,5,"[222.0, 100.0, 266.0, 144.0]",['Player_B'],17
194,6,"[67.0, 438.0, 113.0, 484.0]",['Player_A'],17
195,7,"[202.0, 176.0, 246.0, 220.0]",['Player_B'],17
196,8,"[229.0, 409.0, 275.0, 454.0]",['Player_A'],17
197,9,"[41.0, 125.0, 85.0, 170.0]",['Player_B'],17
198,10,"[120.0, 103.0, 163.0, 147.0]",['Player_A'],17
199,0,"[334.0, 109.0, 379.0, 153.0]",['Player_B'],18
200,1,"[185.0, 42.0, 229.0, 87.0]",['Player_B'],18
201,2,"[127.0, 54.0, 172.0, 99.0]",['Player_A'],18
202,3,"[0.0, 274.0, 45.0, 320.0]",['Player_A'],18
203,4,"[15.0, 295.0, 39.0, 320.0]",['Basketball'],18
204,5,"[223.0, 98.0, 268.0, 142.0]",['Player_B'],18
205,6,"[67.0, 438.0, 113.0, 484.0]",['Player_A'],18
206,7,"[201.0, 177.0, 245.0, 222.0]",['Player_B'],18
207,8,"[228.0, 408.0, 274.0, 453.0]",['Player_A'],18
208,9,"[42.0, 125.0, 86.0, 170.0]",['Player_B'],18
209,10,"[122.0, 104.0, 165.0, 148.0]",['Player_A'],18
210,0,"[334.0, 108.0, 379.0, 152.0]",['Player_B'],19
211,1,"[186.0, 43.0, 231.0, 88.0]",['Player_B'],19
212,2,"[127.0, 54.0, 172.0, 99.0]",['Player_A'],19
213,3,"[1.0, 275.0, 45.0, 321.0]",['Player_A'],19
214,4,"[18.0, 297.0, 42.0, 321.0]",['Basketball'],19
215,5,"[223.0, 98.0, 268.0, 142.0]",['Player_B'],19
216,6,"[66.0, 438.0, 112.0, 483.0]",['Player_A'],19
217,7,"[201.0, 177.0, 245.0, 222.0]",['Player_B'],19
218,8,"[228.0, 408.0, 274.0, 453.0]",['Player_A'],19
219,9,"[42.0, 124.0, 86.0, 169.0]",['Player_B'],19
220,10,"[121.0, 105.0, 165.0, 149.0]",['Player_A'],19
221,0,"[334.0, 107.0, 379.0, 151.0]",['Player_B'],20
222,1,"[187.0, 43.0, 232.0, 88.0]",['Player_B'],20
223,2,"[127.0, 56.0, 173.0, 100.0]",['Player_A'],20
224,3,"[2.0, 275.0, 47.0, 322.0]",['Player_A'],20
225,4,"[23.0, 299.0, 46.0, 322.0]",['Basketball'],20
226,5,"[224.0, 97.0, 267.0, 141.0]",['Player_B'],20
227,6,"[66.0, 437.0, 112.0, 483.0]",['Player_A'],20
228,7,"[201.0, 178.0, 245.0, 222.0]",['Player_B'],20
229,8,"[227.0, 406.0, 273.0, 452.0]",['Player_A'],20
230,9,"[42.0, 122.0, 87.0, 169.0]",['Player_B'],20
231,10,"[122.0, 106.0, 166.0, 150.0]",['Player_A'],20
232,0,"[334.0, 106.0, 378.0, 150.0]",['Player_B'],21
233,1,"[188.0, 44.0, 233.0, 88.0]",['Player_B'],21
234,2,"[127.0, 54.0, 172.0, 99.0]",['Player_A'],21
235,3,"[2.0, 275.0, 47.0, 322.0]",['Player_A'],21
236,4,"[26.0, 299.0, 51.0, 325.0]",['Basketball'],21
237,5,"[224.0, 96.0, 268.0, 140.0]",['Player_B'],21
238,6,"[65.0, 437.0, 111.0, 483.0]",['Player_A'],21
239,7,"[201.0, 178.0, 245.0, 222.0]",['Player_B'],21
240,8,"[227.0, 406.0, 272.0, 450.0]",['Player_A'],21
241,9,"[42.0, 122.0, 87.0, 169.0]",['Player_B'],21
242,10,"[122.0, 107.0, 166.0, 151.0]",['Player_A'],21
243,0,"[334.0, 104.0, 377.0, 148.0]",['Player_B'],22
244,1,"[189.0, 44.0, 234.0, 89.0]",['Player_B'],22
245,2,"[127.0, 54.0, 171.0, 99.0]",['Player_A'],22
246,3,"[3.0, 275.0, 47.0, 322.0]",['Player_A'],22
247,4,"[31.0, 303.0, 54.0, 327.0]",['Basketball'],22
248,5,"[224.0, 95.0, 268.0, 139.0]",['Player_B'],22
249,6,"[65.0, 435.0, 111.0, 482.0]",['Player_A'],22
250,7,"[201.0, 178.0, 245.0, 222.0]",['Player_B'],22
251,8,"[226.0, 404.0, 271.0, 449.0]",['Player_A'],22
252,9,"[42.0, 122.0, 86.0, 167.0]",['Player_B'],22
253,10,"[121.0, 109.0, 166.0, 153.0]",['Player_A'],22
254,0,"[333.0, 102.0, 377.0, 146.0]",['Player_B'],23
255,1,"[190.0, 44.0, 234.0, 90.0]",['Player_B'],23
256,2,"[127.0, 54.0, 172.0, 99.0]",['Player_A'],23
257,3,"[3.0, 276.0, 47.0, 321.0]",['Player_A'],23
258,4,"[34.0, 304.0, 58.0, 329.0]",['Basketball'],23
259,5,"[224.0, 94.0, 268.0, 138.0]",['Player_B'],23
260,6,"[64.0, 435.0, 110.0, 482.0]",['Player_A'],23
261,7,"[202.0, 178.0, 246.0, 223.0]",['Player_B'],23
262,8,"[225.0, 403.0, 270.0, 448.0]",['Player_A'],23
263,9,"[42.0, 121.0, 86.0, 167.0]",['Player_B'],23
264,10,"[122.0, 109.0, 167.0, 154.0]",['Player_A'],23
265,0,"[332.0, 101.0, 377.0, 146.0]",['Player_B'],24
266,1,"[191.0, 46.0, 235.0, 90.0]",['Player_B'],24
267,2,"[125.0, 53.0, 170.0, 98.0]",['Player_A'],24
268,3,"[3.0, 275.0, 48.0, 321.0]",['Player_A'],24
269,4,"[36.0, 305.0, 61.0, 331.0]",['Basketball'],24
270,5,"[225.0, 94.0, 269.0, 138.0]",['Player_B'],24
271,6,"[64.0, 434.0, 110.0, 482.0]",['Player_A'],24
272,7,"[202.0, 178.0, 246.0, 223.0]",['Player_B'],24
273,8,"[223.0, 402.0, 269.0, 447.0]",['Player_A'],24
274,9,"[42.0, 121.0, 86.0, 167.0]",['Player_B'],24
275,10,"[123.0, 112.0, 167.0, 156.0]",['Player_A'],24
276,0,"[334.0, 101.0, 377.0, 145.0]",['Player_B'],25
277,1,"[192.0, 47.0, 236.0, 91.0]",['Player_B'],25
278,2,"[125.0, 53.0, 169.0, 98.0]",['Player_A'],25
279,3,"[4.0, 276.0, 48.0, 321.0]",['Player_A'],25
280,4,"[40.0, 307.0, 65.0, 333.0]",['Basketball'],25
281,5,"[224.0, 93.0, 268.0, 137.0]",['Player_B'],25
282,6,"[63.0, 433.0, 109.0, 481.0]",['Player_A'],25
283,7,"[202.0, 180.0, 246.0, 224.0]",['Player_B'],25
284,8,"[222.0, 402.0, 268.0, 447.0]",['Player_A'],25
285,9,"[43.0, 120.0, 87.0, 166.0]",['Player_B'],25
286,10,"[124.0, 113.0, 167.0, 157.0]",['Player_A'],25
287,0,"[333.0, 100.0, 377.0, 144.0]",['Player_B'],26
288,1,"[192.0, 46.0, 237.0, 91.0]",['Player_B'],26
289,2,"[125.0, 53.0, 169.0, 98.0]",['Player_A'],26
290,3,"[5.0, 276.0, 49.0, 321.0]",['Player_A'],26
291,4,"[42.0, 307.0, 66.0, 333.0]",['Basketball'],26
292,5,"[224.0, 91.0, 268.0, 136.0]",['Player_B'],26
293,6,"[63.0, 433.0, 109.0, 479.0]",['Player_A'],26
294,7,"[202.0, 180.0, 246.0, 224.0]",['Player_B'],26
295,8,"[221.0, 402.0, 267.0, 446.0]",['Player_A'],26
296,9,"[43.0, 119.0, 88.0, 165.0]",['Player_B'],26
297,10,"[124.0, 113.0, 167.0, 158.0]",['Player_A'],26
298,0,"[334.0, 98.0, 377.0, 143.0]",['Player_B'],27
299,1,"[193.0, 46.0, 238.0, 91.0]",['Player_B'],27
300,2,"[124.0, 53.0, 168.0, 97.0]",['Player_A'],27
301,3,"[4.0, 276.0, 50.0, 322.0]",['Player_A'],27
302,4,"[42.0, 309.0, 67.0, 335.0]",['Basketball'],27
303,5,"[225.0, 91.0, 269.0, 136.0]",['Player_B'],27
304,6,"[62.0, 433.0, 108.0, 479.0]",['Player_A'],27
305,7,"[202.0, 180.0, 246.0, 224.0]",['Player_B'],27
306,8,"[220.0, 401.0, 266.0, 446.0]",['Player_A'],27
307,9,"[43.0, 119.0, 88.0, 165.0]",['Player_B'],27
308,10,"[124.0, 115.0, 168.0, 159.0]",['Player_A'],27
309,0,"[332.0, 97.0, 376.0, 141.0]",['Player_B'],28
310,1,"[194.0, 47.0, 239.0, 92.0]",['Player_B'],28
311,2,"[124.0, 53.0, 168.0, 96.0]",['Player_A'],28
312,3,"[6.0, 276.0, 50.0, 322.0]",['Player_A'],28
313,4,"[43.0, 309.0, 67.0, 335.0]",['Basketball'],28
314,5,"[226.0, 91.0, 270.0, 136.0]",['Player_B'],28
315,6,"[62.0, 432.0, 109.0, 479.0]",['Player_A'],28
316,7,"[203.0, 181.0, 247.0, 225.0]",['Player_B'],28
317,8,"[220.0, 401.0, 266.0, 445.0]",['Player_A'],28
318,9,"[43.0, 117.0, 88.0, 164.0]",['Player_B'],28
319,10,"[125.0, 116.0, 169.0, 159.0]",['Player_A'],28
320,0,"[332.0, 95.0, 376.0, 139.0]",['Player_B'],29
321,1,"[195.0, 47.0, 240.0, 92.0]",['Player_B'],29
322,2,"[122.0, 53.0, 167.0, 97.0]",['Player_A'],29
323,3,"[6.0, 276.0, 50.0, 322.0]",['Player_A'],29
324,4,"[43.0, 307.0, 66.0, 333.0]",['Basketball'],29
325,5,"[227.0, 93.0, 270.0, 138.0]",['Player_B'],29
326,6,"[61.0, 432.0, 107.0, 479.0]",['Player_A'],29
327,7,"[203.0, 181.0, 247.0, 225.0]",['Player_B'],29
328,8,"[219.0, 400.0, 264.0, 444.0]",['Player_A'],29
329,9,"[43.0, 117.0, 88.0, 164.0]",['Player_B'],29
330,10,"[125.0, 116.0, 169.0, 161.0]",['Player_A'],29
331,0,"[332.0, 94.0, 376.0, 138.0]",['Player_B'],30
332,1,"[196.0, 48.0, 240.0, 93.0]",['Player_B'],30
333,2,"[121.0, 53.0, 166.0, 97.0]",['Player_A'],30
334,3,"[7.0, 277.0, 51.0, 323.0]",['Player_A'],30
335,4,"[41.0, 307.0, 65.0, 333.0]",['Basketball'],30
336,5,"[227.0, 93.0, 272.0, 138.0]",['Player_B'],30
337,6,"[61.0, 431.0, 108.0, 478.0]",['Player_A'],30
338,7,"[203.0, 181.0, 247.0, 225.0]",['Player_B'],30
339,8,"[219.0, 398.0, 264.0, 444.0]",['Player_A'],30
340,9,"[43.0, 117.0, 87.0, 162.0]",['Player_B'],30
341,10,"[126.0, 118.0, 170.0, 162.0]",['Player_A'],30
342,0,"[333.0, 94.0, 376.0, 138.0]",['Player_B'],31
343,1,"[197.0, 48.0, 242.0, 93.0]",['Player_B'],31
344,2,"[121.0, 52.0, 166.0, 96.0]",['Player_A'],31
345,3,"[7.0, 277.0, 50.0, 323.0]",['Player_A'],31
346,4,"[38.0, 306.0, 63.0, 331.0]",['Basketball'],31
347,5,"[228.0, 93.0, 272.0, 138.0]",['Player_B'],31
348,6,"[60.0, 431.0, 106.0, 478.0]",['Player_A'],31
349,7,"[202.0, 182.0, 246.0, 226.0]",['Player_B'],31
350,8,"[217.0, 397.0, 262.0, 443.0]",['Player_A'],31
351,9,"[43.0, 116.0, 87.0, 160.0]",['Player_B'],31
352,10,"[126.0, 119.0, 170.0, 163.0]",['Player_A'],31
353,0,"[333.0, 92.0, 376.0, 136.0]",['Player_B'],32
354,1,"[198.0, 48.0, 243.0, 93.0]",['Player_B'],32
355,2,"[121.0, 52.0, 164.0, 96.0]",['Player_A'],32
356,3,"[9.0, 277.0, 51.0, 323.0]",['Player_A'],32
357,4,"[36.0, 305.0, 60.0, 331.0]",['Basketball'],32
358,5,"[228.0, 93.0, 272.0, 138.0]",['Player_B'],32
359,6,"[60.0, 431.0, 106.0, 478.0]",['Player_A'],32
360,7,"[202.0, 182.0, 246.0, 226.0]",['Player_B'],32
361,8,"[216.0, 396.0, 262.0, 440.0]",['Player_A'],32
362,9,"[43.0, 115.0, 88.0, 160.0]",['Player_B'],32
363,10,"[127.0, 121.0, 171.0, 165.0]",['Player_A'],32
364,0,"[332.0, 90.0, 376.0, 136.0]",['Player_B'],33
365,1,"[200.0, 50.0, 244.0, 94.0]",['Player_B'],33
366,2,"[120.0, 52.0, 163.0, 96.0]",['Player_A'],33
367,3,"[8.0, 277.0, 53.0, 325.0]",['Player_A'],33
368,4,"[33.0, 305.0, 57.0, 328.0]",['Basketball'],33
369,5,"[230.0, 93.0, 273.0, 138.0]",['Player_B'],33
370,6,"[59.0, 430.0, 105.0, 477.0]",['Player_A'],33
371,7,"[203.0, 183.0, 247.0, 227.0]",['Player_B'],33
372,8,"[215.0, 396.0, 261.0, 441.0]",['Player_A'],33
373,9,"[43.0, 115.0, 88.0, 160.0]",['Player_B'],33
374,10,"[127.0, 122.0, 171.0, 166.0]",['Player_A'],33
375,0,"[331.0, 89.0, 375.0, 134.0]",['Player_B'],34
376,1,"[200.0, 50.0, 245.0, 94.0]",['Player_B'],34
377,2,"[120.0, 51.0, 164.0, 95.0]",['Player_A'],34
378,3,"[9.0, 278.0, 54.0, 326.0]",['Player_A'],34
379,4,"[30.0, 304.0, 54.0, 326.0]",['Basketball'],34
380,5,"[231.0, 93.0, 274.0, 138.0]",['Player_B'],34
381,6,"[59.0, 430.0, 105.0, 477.0]",['Player_A'],34
382,7,"[203.0, 184.0, 247.0, 227.0]",['Player_B'],34
383,8,"[215.0, 395.0, 260.0, 440.0]",['Player_A'],34
384,9,"[43.0, 113.0, 88.0, 159.0]",['Player_B'],34
385,10,"[127.0, 123.0, 171.0, 168.0]",['Player_A'],34
386,0,"[331.0, 88.0, 376.0, 132.0]",['Player_B'],35
387,1,"[201.0, 50.0, 246.0, 94.0]",['Player_B'],35
388,2,"[119.0, 51.0, 163.0, 95.0]",['Player_A'],35
389,3,"[9.0, 278.0, 54.0, 325.0]",['Player_A'],35
390,4,"[27.0, 301.0, 51.0, 325.0]",['Basketball'],35
391,5,"[231.0, 93.0, 275.0, 137.0]",['Player_B'],35
392,6,"[58.0, 428.0, 104.0, 475.0]",['Player_A'],35
393,7,"[203.0, 183.0, 247.0, 227.0]",['Player_B'],35
394,8,"[214.0, 394.0, 259.0, 439.0]",['Player_A'],35
395,9,"[43.0, 113.0, 88.0, 159.0]",['Player_B'],35
396,10,"[128.0, 125.0, 172.0, 169.0]",['Player_A'],35
397,0,"[331.0, 87.0, 375.0, 131.0]",['Player_B'],36
398,1,"[202.0, 50.0, 246.0, 94.0]",['Player_B'],36
